normalized_url,canonical_url,source,host,page_type,location,service_intent,clicks,impressions,indexed_status,current_v2_status,target_url,notes
/index-enhanced/,https://www.ewastekochi.com/index-enhanced/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,index-enhanced,0,0,404,leave_404,,classification_source=rule
/index-old/,https://www.ewastekochi.com/index-old/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,index-old,0,22,404,leave_404,,classification_source=rule
/industries/banks-financial-data-destruction.html,https://www.ewastekochi.com/industries/banks-financial-data-destruction.html,gsc-url-protection-map,www.ewastekochi.com,legacy-html,,,0,1,indexed-with-traffic,leave_404,,classification_source=rule
/industries/it-companies-infopark.html,https://www.ewastekochi.com/industries/it-companies-infopark.html,gsc-url-protection-map,www.ewastekochi.com,legacy-html,,,0,14,indexed-with-traffic,leave_404,,classification_source=rule
/industries/manufacturing-ewaste.html,https://www.ewastekochi.com/industries/manufacturing-ewaste.html,gsc-url-protection-map,www.ewastekochi.com,legacy-html,,,0,6,redirect,leave_404,,classification_source=rule
/industries/schools-education-ewaste.html,https://www.ewastekochi.com/industries/schools-education-ewaste.html,gsc-url-protection-map,www.ewastekochi.com,legacy-html,,,0,19,indexed-with-traffic,leave_404,,classification_source=rule
/industries/startups-itad-kochi.html,https://www.ewastekochi.com/industries/startups-itad-kochi.html,gsc-url-protection-map,www.ewastekochi.com,legacy-html,,,0,9,404,leave_404,,classification_source=rule
/itad-faq-kochi/,https://www.ewastekochi.com/itad-faq-kochi/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,itad-faq-kochi,0,0,redirect,leave_404,,classification_source=rule
/itad-kochi.html,https://www.ewastekochi.com/itad-kochi.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,2,404,leave_404,,classification_source=rule
/itad-kochi/,https://www.ewastekochi.com/itad-kochi/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,itad-kochi,0,1,indexed-with-traffic,leave_404,,classification_source=rule
/itad-services/,https://www.ewastekochi.com/itad-services/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,itad-services,0,1,crawled_not_indexed,leave_404,,classification_source=rule
/itad/,https://www.ewastekochi.com/itad/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,itad,2,162,redirect,keep_200,https://www.ewastekochi.com/itad/,classification_source=v2-live;confirmed_indexed_2026-07-10
/itad/data-destruction-infopark.html,https://www.ewastekochi.com/itad/data-destruction-infopark.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,0,404,leave_404,,classification_source=rule
/itad/it-clearance-smartcity-kochi.html,https://www.ewastekochi.com/itad/it-clearance-smartcity-kochi.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,0,404,leave_404,,classification_source=rule
/itad/nist-800-88-vs-dod-5220-22m/,https://www.ewastekochi.com/itad/nist-800-88-vs-dod-5220-22m/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,nist-800-88-vs-dod-5220-22m,0,0,404,leave_404,,classification_source=rule
